timestamp,0xEFCF86D7_temperature (degrees C),0xEFCF86D7_humidity (% rH),0xF030D0CF_temperature (degrees C),0xF030D0CF_humidity (% rH),0xF030D05B_temperature (degrees C),0xF030D05B_humidity (% rH)
15703,20.1,46.87,,,,
15773,,,20.05,46.6,,
15913,,,,,20.59,45.54
16764,20.09,46.79,,,,
16835,,,20.05,46.55,,
16974,,,,,20.62,45.42
17826,20.13,46.73,,,,
17897,,,20.07,46.49,,
18036,,,,,20.64,45.33
18888,20.19,46.6,,,,
18959,,,20.09,46.45,,
19098,,,,,20.68,45.21
19950,20.21,46.53,,,,
20021,,,20.12,46.36,,
20160,,,,,20.71,45.11
21012,20.23,46.43,,,,
21083,,,20.12,46.33,,
21223,,,,,20.74,45.07
22074,20.27,46.36,,,,
22145,,,20.14,46.3,,
22284,,,,,20.78,44.99
23136,20.26,46.31,,,,
23207,,,20.17,46.25,,
23346,,,,,20.78,44.94
24198,20.28,46.21,,,,
24268,,,20.19,46.18,,
24408,,,,,20.82,44.82
25260,20.33,46.15,,,,
25330,,,20.21,46.11,,
25470,,,,,20.86,44.74
26321,20.31,46.07,,,,
26392,,,20.22,46.08,,
26532,,,,,20.89,44.66
27383,20.31,45.98,,,,
27454,,,20.2,46.0,,
27594,,,,,20.92,44.57
28445,20.37,45.93,,,,
28516,,,20.23,45.98,,
28656,,,,,20.95,44.49
29507,20.37,45.83,,,,
29578,,,20.23,45.9,,
29718,,,,,20.98,44.36
30569,20.42,45.8,,,,
30639,,,20.24,45.87,,
30779,,,,,20.98,44.3
31631,20.44,45.74,,,,
31701,,,20.24,45.88,,
31841,,,,,21.04,44.22
32693,20.44,45.68,,,,
32763,,,20.28,45.85,,
32903,,,,,21.04,44.17
33754,20.48,45.6,,,,
33825,,,20.28,45.76,,
33965,,,,,21.09,44.07
34816,20.48,45.56,,,,
34887,,,20.33,45.75,,
35027,,,,,21.11,44.02
35878,20.54,45.48,,,,
35949,,,20.35,45.67,,
36089,,,,,21.1,43.97
36940,20.57,45.42,,,,
37011,,,20.39,45.59,,
37151,,,,,21.15,43.83
38002,20.56,45.33,,,,
38072,,,20.4,45.56,,
38213,,,,,21.18,43.81
39064,20.6,45.24,,,,
39134,,,20.4,45.48,,
39275,,,,,21.23,43.69
40125,20.58,45.18,,,,
40196,,,20.4,45.39,,
40337,,,,,21.22,43.61
41187,20.56,45.15,,,,
41258,,,20.42,45.35,,
41398,,,,,21.27,43.57
42249,20.5,45.13,,,,
42320,,,20.39,45.34,,
42460,,,,,21.29,43.44
43311,20.53,45.09,,,,
43381,,,20.39,45.31,,
43522,,,,,21.32,43.39
44373,20.49,45.12,,,,
44444,,,20.36,45.3,,
44584,,,,,21.33,43.36
45434,20.52,45.16,,,,
45506,,,20.36,45.29,,
45646,,,,,21.34,43.26
46496,20.52,45.2,,,,
46568,,,20.37,45.32,,
46708,,,,,21.34,43.25
47558,20.55,45.13,,,,
47630,,,20.37,45.34,,
47770,,,,,21.38,43.23
48620,20.56,45.15,,,,
48692,,,20.39,45.35,,
48832,,,,,21.41,43.15
49682,20.6,45.13,,,,
49754,,,20.4,45.32,,
49894,,,,,21.44,43.1
50744,20.62,45.14,,,,
50815,,,20.38,45.34,,
50956,,,,,21.44,43.08
51806,20.59,45.1,,,,
51877,,,20.42,45.34,,
52018,,,,,21.46,43.01
52868,20.6,45.09,,,,
52939,,,20.44,45.31,,
53080,,,,,21.48,42.98
53930,20.6,45.1,,,,
54001,,,20.44,45.34,,
54142,,,,,21.48,42.96
54992,20.63,45.09,,,,
55063,,,20.43,45.34,,
55204,,,,,21.52,42.94
56054,20.65,45.13,,,,
56125,,,20.43,45.35,,
56266,,,,,21.53,42.94
57115,20.62,45.08,,,,
57187,,,20.44,45.33,,
57327,,,,,21.52,42.87
58177,20.58,45.08,,,,
58249,,,20.43,45.35,,
58389,,,,,21.54,42.87
59239,20.57,45.04,,,,
59311,,,20.43,45.35,,
59451,,,,,21.58,42.85
60301,20.59,45.13,,,,
60372,,,20.45,45.34,,
60513,,,,,21.61,42.82
61363,20.63,45.14,,,,
61434,,,20.44,45.33,,
61575,,,,,21.64,42.82
62425,20.64,45.13,,,,
62496,,,20.45,45.35,,
62637,,,,,21.58,42.77
63487,20.64,45.12,,,,
63558,,,20.46,45.36,,
63699,,,,,21.61,42.76
64548,20.65,45.13,,,,
64620,,,20.46,45.34,,
64761,,,,,21.64,42.68
65610,20.64,45.1,,,,
65682,,,20.48,45.36,,
65823,,,,,21.65,42.7
66672,20.64,45.06,,,,
66744,,,20.46,45.34,,
66884,,,,,21.65,42.67
67734,20.62,45.06,,,,
67806,,,20.47,45.35,,
67946,,,,,21.65,42.6
68796,20.6,45.08,,,,
68868,,,20.45,45.32,,
69008,,,,,21.71,42.62
69858,20.67,45.06,,,,
69929,,,20.48,45.34,,
70070,,,,,21.7,42.62
70920,20.69,45.08,,,,
70991,,,20.46,45.36,,
71132,,,,,21.73,42.58
71982,20.63,45.11,,,,
72053,,,20.46,45.36,,
72194,,,,,21.7,42.62
73043,20.58,45.09,,,,
73115,,,20.44,45.38,,
73256,,,,,21.68,42.55
74105,20.54,45.14,,,,
74177,,,20.4,45.4,,
74318,,,,,21.72,42.58
75167,20.63,45.21,,,,
75239,,,20.44,45.42,,
75380,,,,,21.77,42.57
76229,20.71,45.24,,,,
76301,,,20.46,45.44,,
76442,,,,,21.78,42.53
77291,20.68,45.19,,,,
77363,,,20.46,45.43,,
77504,,,,,21.81,42.5
78353,20.65,45.16,,,,
78425,,,20.48,45.45,,
78566,,,,,21.88,42.42
79415,20.71,45.14,,,,
79487,,,20.46,45.39,,
79627,,,,,21.83,42.42
80477,20.71,45.12,,,,
80549,,,20.5,45.4,,
80689,,,,,21.81,42.37
81539,20.68,45.1,,,,
81611,,,20.48,45.4,,
81751,,,,,21.86,42.34
82601,20.75,45.09,,,,
82672,,,20.51,45.39,,
82813,,,,,21.86,42.33
83663,20.72,45.08,,,,
83734,,,20.48,45.37,,
83875,,,,,21.86,42.26
84724,20.72,45.04,,,,
84796,,,20.52,45.36,,
84937,,,,,21.93,42.25
85786,20.77,45.01,,,,
85858,,,20.52,45.36,,
85999,,,,,21.88,42.22
86848,20.75,44.99,,,,
86920,,,20.51,45.36,,
87061,,,,,21.92,42.16
87910,20.82,44.98,,,,
87982,,,20.53,45.32,,
88122,,,,,21.97,42.16
88972,20.85,44.97,,,,
89044,,,20.54,45.32,,
89184,,,,,22.01,42.11
90034,20.86,44.87,,,,
90106,,,20.57,45.3,,
90246,,,,,22.02,42.09
91096,20.83,44.82,,,,
91168,,,20.56,45.29,,
91308,,,,,21.97,42.03
92158,20.8,44.87,,,,
92230,,,20.56,45.27,,
92370,,,,,21.96,42.04
93220,20.79,44.85,,,,
93292,,,20.55,45.29,,
93432,,,,,21.95,42.0
94282,20.78,44.88,,,,
94353,,,20.57,45.27,,
94494,,,,,21.97,42.0
95343,20.81,44.85,,,,
95415,,,20.56,45.25,,
95555,,,,,22.01,42.03
96405,20.85,44.84,,,,
96477,,,20.57,45.28,,
96617,,,,,21.98,42.02
97467,20.86,44.82,,,,
97539,,,20.57,45.23,,
97679,,,,,22.01,42.01
98529,20.93,44.79,,,,
98601,,,20.58,45.26,,
98741,,,,,22.02,41.95
99591,20.84,44.78,,,,
99663,,,20.6,45.21,,
99803,,,,,22.0,41.93
100653,20.84,44.76,,,,
100725,,,20.62,45.2,,
100865,,,,,22.07,41.91
101715,20.84,44.73,,,,
101786,,,20.62,45.2,,
101927,,,,,22.03,41.91
102776,20.88,44.76,,,,
102848,,,20.6,45.16,,
102989,,,,,22.03,41.86
