timestamp,0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH),0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH)
12779,24.36,34.21,,,,
12860,,,25.22,31.99,,
13059,,,,,24.28,34.53
13792,24.36,34.19,,,,
13872,,,25.25,31.98,,
14072,,,,,24.3,34.5
14804,24.36,34.14,,,,
14884,,,25.25,31.94,,
15084,,,,,24.29,34.43
15816,24.41,34.16,,,,
15896,,,25.29,31.94,,
16096,,,,,24.31,34.48
16828,24.39,34.08,,,,
16908,,,25.27,31.88,,
17107,,,,,24.33,34.62
17839,24.39,34.1,,,,
17920,,,25.31,31.84,,
18119,,,,,24.33,34.61
18852,24.41,34.08,,,,
18932,,,25.3,31.84,,
19132,,,,,24.3,34.54
19864,24.41,34.06,,,,
19944,,,25.32,31.82,,
20144,,,,,24.3,34.47
20876,24.42,34.02,,,,
20956,,,25.33,31.76,,
21156,,,,,24.31,34.41
21888,24.45,34.0,,,,
21968,,,25.33,31.77,,
22168,,,,,24.31,34.35
22900,24.46,34.01,,,,
22981,,,25.35,31.72,,
23180,,,,,24.31,34.39
23913,24.46,33.99,,,,
23993,,,25.36,31.68,,
24192,,,,,24.29,34.41
24925,24.46,33.99,,,,
25005,,,25.37,31.71,,
25205,,,,,24.31,34.35
25938,24.46,33.96,,,,
26017,,,25.38,31.66,,
26217,,,,,24.34,34.33
26950,24.48,33.9,,,,
27030,,,25.38,31.61,,
27229,,,,,24.33,34.33
27962,24.5,33.92,,,,
28042,,,25.4,31.63,,
28241,,,,,24.34,34.3
28974,24.5,33.9,,,,
29054,,,25.42,31.62,,
29253,,,,,24.33,34.31
29987,24.52,33.89,,,,
30066,,,25.42,31.58,,
30265,,,,,24.33,34.24
30998,24.5,33.88,,,,
31078,,,25.43,31.56,,
31277,,,,,24.32,34.27
32010,24.54,33.83,,,,
32090,,,25.43,31.54,,
32290,,,,,24.33,34.3
33022,24.56,33.81,,,,
33102,,,25.44,31.57,,
33302,,,,,24.32,34.22
34034,24.56,33.78,,,,
34114,,,25.46,31.53,,
34314,,,,,24.33,34.23
35047,24.58,33.78,,,,
35126,,,25.48,31.54,,
35326,,,,,24.33,34.29
36059,24.56,33.78,,,,
36138,,,25.46,31.49,,
36338,,,,,24.33,34.29
37071,24.57,33.74,,,,
37150,,,25.49,31.5,,
37351,,,,,24.33,34.21
38083,24.59,33.75,,,,
38163,,,25.47,31.45,,
38363,,,,,24.34,34.23
39095,24.61,33.72,,,,
39175,,,25.49,31.45,,
39375,,,,,24.34,34.22
40107,24.63,33.71,,,,
40187,,,25.52,31.45,,
40387,,,,,24.34,34.15
41119,24.61,33.71,,,,
41199,,,25.53,31.45,,
41399,,,,,24.31,34.2
42131,24.65,33.68,,,,
42211,,,25.51,31.45,,
42410,,,,,24.34,34.2
43144,24.65,33.68,,,,
43223,,,25.51,31.41,,
43423,,,,,24.32,34.14
44156,24.65,33.66,,,,
44235,,,25.52,31.42,,
44435,,,,,24.34,34.18
45168,24.67,33.62,,,,
45248,,,25.53,31.39,,
45447,,,,,24.33,34.14
46180,24.66,33.57,,,,
46260,,,25.5,31.3,,
46459,,,,,24.34,34.15
47192,24.67,33.58,,,,
47272,,,25.44,29.11,,
47472,,,,,24.34,34.24
48205,24.72,33.57,,,,
48284,,,25.36,25.1,,
48484,,,,,24.34,34.24
49217,24.67,33.55,,,,
49296,,,25.27,21.4,,
49496,,,,,24.32,34.2
50229,24.67,33.51,,,,
50308,,,25.19,18.61,,
50508,,,,,24.32,34.26
51242,24.7,33.48,,,,
51320,,,25.1,16.53,,
51520,,,,,24.34,34.2
52254,24.7,33.41,,,,
52332,,,25.04,15.09,,
52533,,,,,24.33,34.2
53266,24.68,33.36,,,,
53344,,,24.93,14.03,,
53545,,,,,24.31,34.21
54278,24.67,33.22,,,,
54357,,,24.85,13.28,,
54557,,,,,24.32,34.25
55290,24.66,33.12,,,,
55369,,,24.74,12.79,,
55570,,,,,24.32,34.26
56303,24.64,33.06,,,,
56381,,,24.68,12.41,,
56582,,,,,24.34,34.23
57315,24.65,32.95,,,,
57394,,,24.6,12.14,,
57594,,,,,24.32,34.22
58327,24.61,32.85,,,,
58406,,,24.53,11.9,,
58606,,,,,24.31,34.24
59339,24.63,32.8,,,,
59418,,,24.43,11.73,,
59618,,,,,24.32,34.21
60352,24.61,32.75,,,,
60430,,,24.34,11.67,,
60630,,,,,24.34,34.22
61364,24.61,32.68,,,,
61443,,,24.28,11.64,,
61643,,,,,24.33,34.2
62376,24.59,32.59,,,,
62455,,,24.2,11.58,,
62655,,,,,24.31,34.22
63388,24.58,32.51,,,,
63467,,,24.14,11.55,,
63667,,,,,24.32,34.19
64400,24.58,32.41,,,,
64480,,,24.05,11.53,,
64679,,,,,24.33,34.18
65413,24.54,32.29,,,,
65492,,,23.99,11.58,,
65692,,,,,24.31,34.17
66425,24.55,32.26,,,,
66504,,,23.92,11.54,,
66704,,,,,24.3,34.19
67437,24.52,32.14,,,,
67516,,,23.86,11.57,,
67716,,,,,24.31,34.17
68449,24.5,32.1,,,,
68528,,,23.8,11.61,,
68728,,,,,24.34,34.21
69461,24.51,32.01,,,,
69540,,,23.74,11.64,,
69739,,,,,24.31,34.2
70473,24.5,31.98,,,,
70552,,,23.68,11.65,,
70752,,,,,24.32,34.15
71485,24.48,31.92,,,,
71564,,,23.65,11.64,,
71764,,,,,24.31,34.17
72497,24.5,31.79,,,,
72576,,,23.57,11.72,,
72775,,,,,24.3,34.2
73509,24.49,31.7,,,,
73589,,,23.5,11.74,,
73787,,,,,24.3,34.17
74521,24.46,31.65,,,,
74601,,,23.45,11.76,,
74799,,,,,24.3,34.2
75533,24.44,31.59,,,,
75613,,,23.43,11.81,,
75811,,,,,24.3,34.18
76545,24.42,31.55,,,,
76625,,,23.36,11.83,,
76823,,,,,24.28,34.26
77557,24.43,31.46,,,,
77637,,,23.3,11.8,,
77835,,,,,24.31,34.2
78570,24.43,31.39,,,,
78650,,,23.29,11.93,,
78847,,,,,24.29,34.24
79582,24.41,31.31,,,,
79662,,,23.25,11.9,,
79859,,,,,24.3,34.24
80594,24.41,31.21,,,,
80674,,,23.22,11.91,,
80871,,,,,24.29,34.19
81606,24.42,31.13,,,,
81686,,,23.16,11.91,,
81883,,,,,24.3,34.24
82619,24.4,31.04,,,,
82699,,,23.1,11.97,,
82895,,,,,24.3,34.24
83631,24.36,30.96,,,,
83711,,,23.08,12.03,,
83907,,,,,24.3,34.22
84643,24.36,30.89,,,,
84723,,,23.04,12.05,,
84919,,,,,24.29,34.24
85655,24.39,30.87,,,,
85736,,,23.02,12.03,,
85931,,,,,24.27,34.23
86667,24.37,30.8,,,,
86748,,,22.98,12.07,,
86943,,,,,24.28,34.22
87680,24.37,30.71,,,,
87760,,,22.92,12.06,,
87956,,,,,24.28,34.22
88692,24.37,30.6,,,,
88773,,,22.9,12.07,,
88968,,,,,24.28,34.22
89704,24.34,30.58,,,,
89785,,,22.88,12.09,,
89980,,,,,24.27,34.23
90716,24.36,30.53,,,,
90797,,,22.83,12.06,,
90992,,,,,24.27,34.26
91729,24.34,30.46,,,,
91809,,,22.8,12.11,,
92004,,,,,24.27,34.25
92741,24.3,30.42,,,,
92821,,,22.79,12.09,,
93016,,,,,24.27,34.27
93753,24.28,30.28,,,,
93834,,,22.76,12.07,,
94029,,,,,24.25,34.23
94765,24.27,30.2,,,,
94846,,,22.75,12.08,,
95041,,,,,24.26,34.24
95777,24.26,30.18,,,,
95858,,,22.71,12.12,,
96053,,,,,24.24,34.26
96790,24.28,30.14,,,,
96871,,,22.7,12.15,,
97066,,,,,24.25,34.25
97802,24.28,30.06,,,,
97883,,,22.66,12.14,,
98077,,,,,24.25,34.23
98814,24.25,30.02,,,,
98895,,,22.66,12.15,,
99089,,,,,24.27,34.26
99828,24.27,29.92,,,,
99906,,,22.6,12.21,,
100101,,,,,24.25,34.28
100840,24.23,29.88,,,,
100919,,,22.59,12.18,,
