timestamp,0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH),0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH)
21323095,22.67,51.49,,,,
21323115,,,27.46,40.05,,
21323204,,,,,28.33,38.66
21324107,22.66,51.5,,,,
21324127,,,27.46,40.05,,
21324216,,,,,28.31,38.6
21325119,22.65,51.5,,,,
21325138,,,27.49,39.99,,
21325227,,,,,28.33,38.63
21326130,22.61,51.51,,,,
21326150,,,27.48,39.98,,
21326239,,,,,28.33,38.59
21327142,22.61,51.5,,,,
21327162,,,27.47,39.94,,
21327251,,,,,28.33,38.63
21328154,22.63,51.52,,,,
21328174,,,27.49,39.97,,
21328262,,,,,28.32,38.6
21329166,22.66,51.53,,,,
21329185,,,27.48,39.9,,
21329274,,,,,28.35,38.55
21330177,22.65,51.52,,,,
21330197,,,27.45,39.87,,
21330286,,,,,28.33,38.55
21331189,22.67,51.54,,,,
21331209,,,27.47,39.58,,
21331298,,,,,28.34,38.57
21332201,22.71,51.49,,,,
21332221,,,27.46,39.18,,
21332309,,,,,28.31,38.54
21333213,22.69,51.48,,,,
21333232,,,27.47,38.75,,
21333321,,,,,28.32,38.54
21334225,22.65,51.44,,,,
21334244,,,27.42,38.36,,
21334333,,,,,28.32,38.47
21335236,22.61,51.46,,,,
21335256,,,27.38,38.04,,
21335345,,,,,28.31,38.43
21336248,22.65,51.51,,,,
21336268,,,27.38,37.81,,
21336356,,,,,28.28,38.33
21337260,22.65,51.48,,,,
21337279,,,27.36,37.66,,
21337368,,,,,28.3,38.23
21338272,22.66,51.46,,,,
21338291,,,27.33,37.52,,
21338380,,,,,28.31,38.08
21339283,22.67,51.48,,,,
21339303,,,27.28,37.25,,
21339391,,,,,28.28,37.95
21340295,22.64,51.48,,,,
21340315,,,27.21,36.94,,
21340403,,,,,28.27,37.84
21341307,22.62,51.52,,,,
21341326,,,27.17,36.64,,
21341415,,,,,28.25,37.69
21342318,22.61,51.51,,,,
21342338,,,27.12,36.4,,
21342426,,,,,28.25,37.5
21343330,22.57,51.51,,,,
21343350,,,27.09,36.26,,
21343438,,,,,28.26,37.34
21344342,22.56,51.54,,,,
21344361,,,26.94,36.15,,
21344450,,,,,28.24,37.05
21345354,22.55,51.6,,,,
21345373,,,26.89,37.03,,
21345462,,,,,28.17,36.81
21346365,22.55,51.62,,,,
21346385,,,26.9,38.03,,
21346474,,,,,28.16,36.62
21347377,22.54,51.62,,,,
21347396,,,26.84,38.69,,
21347485,,,,,28.13,36.54
21348389,22.54,51.67,,,,
21348408,,,26.83,38.93,,
21348497,,,,,28.13,36.68
21349401,22.54,51.68,,,,
21349420,,,26.79,39.22,,
21349509,,,,,28.11,36.75
