timestamp,0xF030D05B_blue_temperature (degrees C),0xF030D05B_blue_humidity (% rH),0xEFCF86D7_yellow_temperature (degrees C),0xEFCF86D7_yellow_humidity (% rH),0xF030D0CF_red_temperature (degrees C),0xF030D0CF_red_humidity (% rH)
17021,24.58,19.85,,,,
17141,,,21.65,51.52,,
17221,,,,,22.56,19.62
18033,24.59,19.75,,,,
18153,,,21.69,51.52,,
18233,,,,,22.55,19.51
19044,24.59,19.6,,,,
19164,,,21.69,51.53,,
19244,,,,,22.56,19.4
20056,24.59,19.56,,,,
20176,,,21.69,51.54,,
20256,,,,,22.56,19.31
21068,24.58,19.48,,,,
21188,,,21.68,51.49,,
21268,,,,,22.53,19.16
22079,24.58,19.37,,,,
22199,,,21.67,51.48,,
22279,,,,,22.55,19.06
23091,24.61,19.26,,,,
23211,,,21.66,51.48,,
23291,,,,,22.55,18.95
24103,24.59,19.07,,,,
24223,,,21.69,51.43,,
24303,,,,,22.55,18.85
25114,24.58,18.99,,,,
25234,,,21.68,51.45,,
25314,,,,,22.53,18.78
26126,24.59,18.87,,,,
26246,,,21.65,51.46,,
26326,,,,,22.52,18.71
27137,24.58,18.77,,,,
27258,,,21.66,51.43,,
27338,,,,,22.54,18.62
28149,24.58,18.66,,,,
28270,,,21.69,51.42,,
28349,,,,,22.53,18.52
29161,24.56,18.51,,,,
29281,,,21.67,51.43,,
29361,,,,,22.5,18.42
30172,24.56,18.43,,,,
30293,,,21.67,51.41,,
30373,,,,,22.5,18.31
31184,24.57,18.31,,,,
31305,,,21.68,51.41,,
31384,,,,,22.52,18.21
32196,24.55,18.26,,,,
32316,,,21.68,51.42,,
32396,,,,,22.51,18.12
33208,24.54,18.18,,,,
33328,,,21.68,51.4,,
33408,,,,,22.51,18.02
34219,24.53,18.13,,,,
34340,,,21.7,51.43,,
34419,,,,,22.48,17.94
35231,24.52,18.13,,,,
35351,,,21.69,51.42,,
35431,,,,,22.5,17.88
36243,24.52,18.0,,,,
